"Domaine de formation","Canton de l'entreprise formatrice","Type de formation","Mode d'enseignement","Sexe","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Techniques audiovisuelles et production multimédia","Schwyz","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Schwyz","AFP","Dual","Sexe - total",1,1,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Obwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Obwalden","CFC","Dual","Sexe - total",21,23,24,22,26,26,26,23,27,29
"Techniques audiovisuelles et production multimédia","Obwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Obwalden","AFP","Dual","Sexe - total",0,1,0,1,1,0,0,0,1,0
"Techniques audiovisuelles et production multimédia","Nidwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Nidwalden","CFC","Dual","Sexe - total",30,25,28,26,26,25,27,23,23,22
"Techniques audiovisuelles et production multimédia","Nidwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Nidwalden","AFP","Dual","Sexe - total",1,0,1,1,1,1,1,2,2,1
"Techniques audiovisuelles et production multimédia","Glarus","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Glarus","CFC","Dual","Sexe - total",6,6,4,4,4,3,4,6,5,5
"Techniques audiovisuelles et production multimédia","Glarus","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Glarus","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Zug","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Zug","CFC","Dual","Sexe - total",89,82,80,67,69,68,74,88,96,101
"Techniques audiovisuelles et production multimédia","Zug","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Zug","AFP","Dual","Sexe - total",1,0,0,0,1,1,1,0,0,1
"Techniques audiovisuelles et production multimédia","Fribourg / Freiburg","CFC","Plein temps en école","Sexe - total",115,123,115,124,131,136,133,136,131,140
"Techniques audiovisuelles et production multimédia","Fribourg / Freiburg","CFC","Dual","Sexe - total",89,86,80,69,69,61,55,52,54,63
"Techniques audiovisuelles et production multimédia","Fribourg / Freiburg","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Fribourg / Freiburg","AFP","Dual","Sexe - total",0,0,0,0,0,1,1,0,0,0
"Techniques audiovisuelles et production multimédia","Solothurn","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Solothurn","CFC","Dual","Sexe - total",93,90,99,90,76,85,71,72,81,78
"Techniques audiovisuelles et production multimédia","Solothurn","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Solothurn","AFP","Dual","Sexe - total",4,2,0,1,6,5,2,4,3,5
"Techniques audiovisuelles et production multimédia","Basel-Stadt","CFC","Plein temps en école","Sexe - total",66,68,64,64,63,61,63,63,62,64
"Techniques audiovisuelles et production multimédia","Basel-Stadt","CFC","Dual","Sexe - total",70,63,75,67,68,65,71,76,80,92
"Techniques audiovisuelles et production multimédia","Basel-Stadt","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Basel-Stadt","AFP","Dual","Sexe - total",1,1,2,2,2,3,5,7,8,4
