"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.210.38.0"	"Chimiste en denrées alimentaires (U)"	""	""	"06.01.2005"	
"0.210.54.3"	"Cidrier/ière (CFC), abr. 2001"	""	"26.07.2024"	"26.07.2024"	
"0.210.17.2"	"Cidrier/ière (Maître) (DF), abr. 2010"	""	"08.01.2004"	"19.02.2015"	
"0.210.35.3"	"Commerçant/e en boulangerie-pâtisserie-confiserie dipl. (DF), abr. 2016"	""	"23.11.2015"	"23.11.2015"	
"0.210.18.2"	"Confiseur/euse sucre-cuitier/ière (CFC), abr. 2001"	""	"06.01.2004"	"06.01.2005"	
"0.210.4.5"	"Confiseur/euse-pâtissier/ière-glacier/ière (CFC), abr. 2001"	""	"08.12.2010"	"04.04.2011"	
"0.210.16.1"	"Contrôleur/euse des denrées alimentaires"	""	"11.12.2003"	"01.03.2006"	
"0.210.45.0"	"Employé/e en industrie laitière AFP"	""	"16.06.2005"	"06.03.2007"	
"0.210.42.2"	"Fromager/ère (BP), abr. 2005"	""	"21.02.2005"	"01.02.2018"	
"0.210.22.3"	"Fromager/ère (CFC), abr. 2001"	""	"11.12.2003"	"01.03.2006"	
"0.210.43.2"	"Fromager/ère (Maître -) (DF), abr. 2005"	""	"21.02.2005"	"23.02.2015"	
"0.210.33.0"	"Ingénieur/e en sciences alimentaires (U)"	""	""	"04.10.2005"	
"0.210.7.3"	"Ingénieur/e HES en oenologie"	""	"15.02.2006"	"23.01.2020"	
"0.210.5.0"	"Ingénieur/e HES en technologie alimentaire"	""	""	"12.03.2008"	
"0.210.7.0"	"Ingénieur/e HES en viticulture et oenologie"	""	"07.02.2000"	"21.02.2020"	
"0.210.16.0"	"Inspecteur/trice des denrées alimentaires"	""	""	"06.01.2005"	
"0.210.42.1"	"Laitier/ière (BF), abr. 2005"	""	"21.02.2005"	"29.08.2005"	
"0.210.22.1"	"Laitier/ière (CFC), abr. 2001"	""	"11.12.2003"	"24.02.2005"	
"0.210.43.1"	"Laitier/ière (Maître-) (DF), abr. 2005"	""	"21.02.2005"	"23.02.2015"	
"0.210.21.0"	"Maître boucher/ère-charcutier/ière (DF)"	""	""	"23.02.2015"	
"0.210.36.0"	"Maître caviste (DF)"	""	""	"02.02.2015"	
"0.210.43.0"	"Maître fromager/ère et laitier/ière (DF)"	""	"21.02.2005"	"27.08.2024"	
"0.210.25.3"	"Meunier/ière (Alimentation animale) CFC"	""	"27.09.2005"	"10.05.2023"	
"0.210.25.2"	"Meunier/ière (Denrées alimentaires) CFC"	""	"27.09.2005"	"10.05.2023"	
"0.210.25.0"	"Meunier/ière CFC"	""	""	"08.12.2011"	
"0.210.25.1"	"Meunier/ière d'aliments fourragers (CFC), abr. 2001"	""	"11.12.2003"	"02.02.2006"	
"0.210.28.0"	"Négociant/e de vins"	""	"06.11.1991"	"06.01.2005"	
"0.210.53.0"	"Négociant/e de vins dipl. (DF), abr. 2018"	""	"25.06.2018"	"25.06.2018"	
"0.210.7.5"	"Oenologue HES"	""	"21.02.2020"	"21.02.2020"	
"0.210.4.1"	"Pâtissier/ière-confiseur/euse (CFC), abr. 2010"	""	"26.11.2010"	"26.11.2010"	
"0.210.35.4"	"Pâtissier/ière-confiseur/euse dipl. (DF), abr. 2016"	""	"23.11.2015"	"23.11.2015"	
"0.210.46.0"	"Praticien/ne en denrées alimentaires AFP"	""	"13.11.2006"	"23.08.2007"	
"0.210.27.0"	"Technicien/ne dipl. ES en agroalimentaire"	""	"17.06.1996"	"09.11.2022"	
"0.210.39.1"	"Technicien/ne en meunerie"	""	"29.06.2004"	"19.08.2010"	
"0.210.54.1"	"Technologue du brassage et des boissons (Bière) CFC"	""	"25.07.2024"	"12.08.2024"	
"0.210.54.2"	"Technologue du brassage et des boissons (Boissons) CFC"	""	"25.07.2024"	"12.08.2024"	
"0.210.54.0"	"Technologue du brassage et des boissons CFC"	""	"25.07.2024"	"25.07.2024"	
"0.210.42.0"	"Technologue du lait (BF)"	""	"21.02.2005"	"25.09.2024"	
"0.210.22.0"	"Technologue du lait CFC"	""	"21.11.2000"	"19.10.2011"	
"0.210.49.0"	"Technologue en denrées alimentaires (BF)"	""	"26.02.2009"	"29.04.2009"	
"0.210.18.15"	"Technologue en denrées alimentaires (Chocolat et produits de confiserie) CFC"	""	"22.12.2023"	"12.08.2024"	
"0.210.17.0"	"Technologue en denrées alimentaires (DF)"	""	"14.11.1994"	"17.08.2009"	
"0.210.54.5"	"Technologue en denrées alimentaires (domaine spécifique Bière) CFC, abr. 2025"	""	"26.07.2024"	"26.07.2024"	
"0.210.54.6"	"Technologue en denrées alimentaires (domaine spécifique Boissons) CFC, abr. 2025"	""	"26.07.2024"	"26.07.2024"	
"0.210.18.11"	"Technologue en denrées alimentaires (domaine spécifique Chocolat) CFC, abr. 2025"	""	"29.06.2015"	"12.08.2024"	
"0.210.18.9"	"Technologue en denrées alimentaires (domaine spécifique Produits carnés) CFC, abr. 2025"	""	"29.06.2015"	"12.08.2024"	
"0.210.18.13"	"Technologue en denrées alimentaires (domaine spécifique Produits de confiserie) CFC, abr. 2025"	""	"29.06.2015"	"12.08.2024"	
"0.210.18.6"	"Technologue en denrées alimentaires (Produits de boulangerie) CFC"	""	"29.06.2015"	"22.12.2023"	
"0.210.18.8"	"Technologue en denrées alimentaires (Produits de convenience) CFC"	""	"29.06.2015"	"26.07.2024"	
"0.210.18.12"	"Technologue en denrées alimentaires (Produits secs) CFC"	""	"29.06.2015"	"22.12.2023"	
"0.210.18.0"	"Technologue en denrées alimentaires CFC"	""	""	"25.07.2024"	
"0.210.42.3"	"Technologue en industrie laitière (BF), abr. 2024"	""	"10.01.2024"	"27.08.2024"	
"0.210.22.4"	"Technologue en industrie laitière (CFC), abr. 2011"	""	"13.09.2011"	"03.10.2011"	
"0.210.43.3"	"Technologue en industrie laitière dipl. (DF), abr. 2024"	""	"10.01.2024"	"27.08.2024"	
"0.210.39.0"	"Technologue en meunerie"	""	"01.02.1994"	"06.01.2005"	
"0.220.0.0"	"Hôtellerie, restauration"	""	"30.11.1999"	"21.07.2010"	
"0.220.2.0"	"Barkeeper"	""	""	"22.09.2004"	
"0.220.2.1"	"Barman, Barmaid"	""	"16.03.2004"	"21.03.2006"	
"0.220.20.0"	"Cafetier/ière-restaurateur/trice et hôtelier/ière"	""	""	"30.11.2010"	
"0.220.8.0"	"Chef/fe cuisinier/ière (BF)"	""	"04.11.1991"	"23.02.2015"	
"0.220.9.2"	"Chef/fe d'accueil et d'administration hôtelière (BF), abr. 2011"	""	"03.10.2011"	"28.06.2018"	
"0.220.16.0"	"Chef/fe d'entreprise de l'hôtellerie et de la restauration dipl. (DF)"	""	""	"25.06.2012"	
"0.220.40.0"	"Chef/fe d'établissement de l'hôtellerie et de la restauration (BF)"	""	"01.02.2010"	"23.02.2016"	
"0.220.14.0"	"Chef/fe de cuisine (DF)"	""	""	"03.10.2011"	
"0.220.14.1"	"Chef/fe de cuisine, chef/fe de production dipl. (DF), abr. 2011"	""	"03.10.2011"	"03.10.2011"	
"0.220.18.0"	"Chef/fe de la restauration (DF)"	""	"21.10.1999"	"28.06.2018"	
"0.220.3.0"	"Chef/fe de la restauration collective (DF)"	""	""	"28.06.2018"	
"0.220.9.0"	"Chef/fe de réception (BF)"	""	"21.10.1999"	"19.10.2011"	
"0.220.17.2"	"Chef/fe en restauration (BF), abr. 2011"	""	"03.10.2011"	"03.10.2011"	
"0.220.18.3"	"Chef/fe en restauration dipl. (DF), abr. 2011"	""	"03.10.2011"	"03.10.2011"	
"0.220.25.0"	"Concierge d'hôtel"	""	""	"20.10.2005"	
"0.220.13.0"	"Cuisinier/ière CFC"	""	""	"15.05.2009"	
"0.220.8.2"	"Cuisinier/ière d'hôpital, de home et en restauration collective (BF), abr. 2011"	""	"03.10.2011"	"03.10.2011"	
"0.220.6.0"	"Cuisinier/ière en diététique (BF)"	""	""	"12.07.2022"	
"0.220.6.2"	"Cuisinier/ière en diététique CFC, abr. 2022"	""	"25.04.2019"	"13.07.2021"	
"0.220.8.1"	"Cuisinier/ière en hôtellerie et restauration (BF), abr. 2011"	""	"03.10.2011"	"03.10.2011"	
"0.220.46.0"	"Directeur/trice d'hôtel"	""	"21.06.2013"	"09.01.2017"	
"0.220.22.0"	"Économiste d'entreprise HES en hôtellerie et professions de l'accueil"	""	"07.02.2000"	"27.08.2024"	
"0.220.32.0"	"Employé/e en cuisine AFP"	""	"03.01.2005"	"13.11.2008"	
"0.220.33.0"	"Employé/e en restauration AFP"	""	"03.01.2005"	"22.11.2018"	
"0.220.48.0"	"Employé/e en restauration de système AFP"	""	"01.03.2024"	"17.10.2024"	
"0.220.43.0"	"Gestionnaire en restauration de système CFC"	""	"24.01.2012"	"17.10.2024"	
"0.220.21.0"	"Hôtelier/ière-restaurateur/trice dipl. ES"	""	"17.07.2001"	"03.02.2022"	
"0.220.42.0"	"Hôtellerie, restauration (divers)"	""	"26.01.2011"	""	
"0.220.18.2"	"Maître d'hôtel (DF), abr. 1997"	""	"11.08.2009"	"02.09.2009"	
"0.220.24.0"	"Pizzaiolo/a"	""	"06.06.2000"	"13.10.2008"	
"0.220.38.0"	"Pizzaiolo/a (ct. TI)"	""	"13.10.2008"	"14.03.2012"	
"0.220.17.0"	"Responsable de la restauration (BF)"	""	"04.11.1991"	"17.02.2015"	
"0.220.3.1"	"Responsable en restauration de collectivités dipl. (DF), abr. 2011"	""	"03.10.2011"	"03.10.2011"	
"0.220.16.1"	"Restaurateur/trice dipl. (DF), abr. 2012"	""	"15.06.2012"	"15.06.2012"	
"0.220.26.0"	"Sommelier/ière"	""	"13.01.2004"	"05.02.2009"	
"0.220.44.0"	"Sommelier/ière (BF)"	""	"27.08.2012"	"13.02.2013"	
"0.220.28.1"	"Sommelier/ière (CFC), abr. 2005"	""	"03.01.2005"	"31.01.2005"	
"0.220.26.2"	"Sommelier/ière de la bière"	""	"17.06.2014"	"18.06.2014"	
"0.220.47.2"	"Spécialiste à l'accueil en hôtellerie, gastronomie et animation HGA (CFC, ordonnance ct. VS), abr. 2017"	""	"24.01.2019"	"25.01.2019"	
"0.220.47.0"	"Spécialiste en communication hôtelière CFC"	""	"04.01.2016"	"25.10.2016"	
"0.220.47.1"	"Spécialiste en hôtellerie et gastronomie (CFC, ordonnance ct. GR), abr. 2017"	""	"15.06.2017"	"19.06.2017"	
"0.220.28.0"	"Spécialiste en restauration CFC"	""	"26.01.2004"	"22.11.2018"	
"0.220.43.1"	"Spécialiste en restauration de système CFC, abr. 2025"	""	"01.03.2024"	"17.10.2024"	
"0.220.41.0"	"Traiteur/euse"	""	"20.01.2011"	"25.01.2011"	
"0.230.0.0"	"Économie familiale"	""	"30.11.1999"	"04.06.2020"	
"0.230.18.0"	"Aide à domicile (ct. TI)"	""	"24.10.2018"	"24.10.2018"	
"0.230.14.0"	"Aide ménager/ère"	""	"23.08.2007"	"04.09.2007"	
"0.230.6.10"	"Assistant/e d'hôtel (CFC), abr. 2005"	""	"11.08.2023"	"11.08.2023"	
"0.230.6.11"	"Assistant/e en restauration (CFC), abr. 2005"	""	"11.08.2023"	"11.08.2023"	
"0.230.1.0"	"Chef/fe du secteur hôtelier-intendance (DF)"	""	"21.10.1999"	"28.06.2018"	
"0.230.10.2"	"Dirigeant/e de maintenance dipl. (DF), abr. 2021"	""	"16.11.2020"	"16.01.2023"	
"0.230.10.1"	"Dirigeant/e en facility management dipl. (DF), abr. 2021"	""	"28.04.2020"	"16.01.2023"	
"0.230.10.0"	"Dirigeant/e en facility management et maintenance (DF)"	""	"06.05.2003"	"16.11.2020"	
"0.230.17.0"	"Économie familiale (divers)"	""	"26.01.2011"	"04.06.2020"	
"0.230.2.0"	"Économiste d'entreprise HES, Facility Management"	""	"21.10.1999"	"04.06.2020"	
"0.230.6.2"	"Employé/e de maison (ménage général) (CFC), abr. 2003"	""	"11.12.2003"	"09.03.2006"	
"0.230.6.1"	"Employé/e de maison (ménage rural) (CFC), abr. 2003"	""	"11.12.2003"	"13.02.2006"	
"0.230.6.4"	"Employé/e de ménage collectif (CFC), abr. 2003"	""	"11.12.2003"	"13.02.2006"	
"0.230.11.2"	"Employé/e en hôtellerie AFP, abr. 2023"	""	"11.08.2023"	"11.08.2023"	
"0.230.11.0"	"Employé/e en hôtellerie-intendance AFP"	""	"10.05.2005"	"11.08.2023"	
"0.230.11.1"	"Employé/e en intendance AFP, abr. 2023"	""	"05.11.2021"	"11.08.2023"	
"0.230.6.5"	"Gestionnaire en économie familiale (CFC), abr. 2005"	""	"26.01.2005"	"01.02.2005"	
"0.230.6.7"	"Gestionnaire en hôtellerie-intendance (Hôtellerie) CFC"	""	"07.12.2022"	"11.08.2023"	
"0.230.6.8"	"Gestionnaire en hôtellerie-intendance (Intendance) CFC"	""	"07.12.2022"	"11.08.2023"	
"0.230.6.0"	"Gestionnaire en hôtellerie-intendance CFC"	""	"08.11.1999"	"11.08.2023"	
"0.230.6.6"	"Gestionnaire en intendance CFC, abr. 2023"	""	"05.11.2021"	"28.10.2025"	
"0.230.4.0"	"Gouvernant/e de maison (BF), abr. 2024"	""	""	"06.02.2024"	
"0.230.15.3"	"Intendant/e (BF), abr. 2009"	""	"27.10.2009"	"27.10.2009"	
"0.230.1.1"	"Intendant/e dipl. (DF), abr. 2011"	""	"03.10.2011"	"03.10.2011"	
"0.230.15.2"	"Intendant/e du secteur hôtelier d'établissement (BF), abr. 2009"	""	"27.10.2009"	"27.10.2009"	
"0.230.8.1"	"Intendant/e du secteur hôtelier d'établissement dipl. ES, abr."	""	"22.08.2013"	"20.09.2021"	
"0.230.3.0"	"Majordome"	""	"19.01.2000"	"13.01.2005"	
"0.230.2.1"	"Oecotrophologue HES"	""	"11.12.2003"	"01.03.2006"	
"0.230.8.0"	"Responsable d'exploitation en facility management dipl. ES"	""	""	"18.04.2023"	
"0.230.15.0"	"Responsable du secteur hôtelier-intendance (BF)"	""	"27.10.2009"	"02.02.2023"	
"0.230.6.9"	"Spécialiste en hôtellerie CFC, abr. 2023"	""	"11.08.2023"	"11.08.2023"	
"0.300.0.0"	"Textiles, habillement, soins corporels"	""	"30.11.1999"	"12.03.2004"	
"0.300.1.0"	"Textiles, habillement, soins corporels (divers)"	""	"26.01.2011"	""	
"0.310.0.0"	"Industrie textile"	""	"30.11.1999"	"23.08.2000"	
"0.310.16.2"	"Agent/e en produits textiles (Confection de produits textiles techniques) AFP"	""	"29.06.2015"	"29.06.2015"	
"0.310.16.1"	"Agent/e en produits textiles (Fabrication de produits textiles) AFP"	""	"29.06.2015"	"29.06.2015"	
"0.310.16.0"	"Agent/e en produits textiles AFP"	""	"19.09.2013"	"30.07.2014"	
"0.310.13.1"	"Assistant/e de l'industrie textile (CFC), abr. 2007"	""	"29.01.2007"	"31.01.2007"	
"0.310.13.5"	"Cordier/ière (CFC), abr. 2007"	""	"29.01.2007"	"29.01.2007"	
"0.310.13.2"	"Créateur/trice de textiles (CFC), abr. 2007"	""	"29.01.2007"	"29.01.2007"	
"0.310.15.2"	"Économiste en textile dipl. ES, abr. 2022"	""	"03.11.2021"	"20.07.2022"	
"0.310.13.4"	"Ennoblisseur/euse de textiles (CFC), abr. 2007"	""	"29.01.2007"	"29.01.2007"	
"0.310.14.0"	"Industrie textile (divers)"	""	"26.01.2011"	""	
"0.310.1.4"	"Maître textile (DF), abr. 2021"	""	"11.12.2020"	"12.05.2021"	
"0.310.15.0"	"Manager dipl. ES en textile et mode"	""	"01.09.2011"	"05.08.2022"	
"0.310.13.3"	"Mécanicien/ne de l'industrie textile (CFC), abr. 2007"	""	"29.01.2007"	"31.01.2007"	
"0.310.17.3"	"Modéliste STF"	""	"05.10.2022"	"05.10.2022"	
"0.310.1.0"	"Spécialiste en technologie textile (BF)"	""	"01.02.1994"	"27.04.2021"	
"0.310.17.1"	"Technicien/ne dipl. ES de l'habillement, abr."	""	"05.10.2022"	"05.10.2022"	
"0.310.17.2"	"Technicien/ne dipl. ES de la mode, abr."	""	"05.10.2022"	"05.10.2022"	
"0.310.17.4"	"Technicien/ne dipl. ES en textile (spécialisation Mode), abr. 2022"	""	"05.10.2022"	"07.12.2022"	
"0.310.3.5"	"Technicien/ne dipl. ES en textile (spécialisation Technologie et conception des tissus), abr. 2022"	""	"17.08.2011"	"07.12.2022"	
"0.310.3.0"	"Technicien/ne dipl. ES en textile et des procédés"	""	"23.08.2000"	"06.10.2022"	
"0.310.17.0"	"Technicien/ne dipl. ES en textile et habillement"	""	"05.10.2022"	"05.10.2022"	
"0.310.3.8"	"Technicien/ne dipl. ES en textile, abr. 2022"	""	"16.02.2022"	"06.10.2022"	
"0.310.17.6"	"Technicien/ne dipl. ES en textile, abr. 2022"	""	"05.10.2022"	"06.10.2022"	
"0.310.17.5"	"Technicien/ne du design de la mode dipl. ES, abr."	""	"05.10.2022"	"05.10.2022"	
"0.310.15.1"	"Technicien/ne en logistique textile dipl. ES, abr."	""	"20.09.2021"	"20.09.2021"	
"0.310.13.6"	"Technologue en textile (Création) CFC"	""	"29.01.2007"	"23.07.2012"	
"0.310.13.10"	"Technologue en textile (Ennoblissement) CFC"	""	"29.01.2007"	"08.03.2007"	
"0.310.13.7"	"Technologue en textile (Mécatronique) CFC"	""	"29.01.2007"	"23.07.2012"	
"0.310.13.8"	"Technologue en textile (Production et technologie des câbles) CFC"	""	"29.01.2007"	"08.03.2007"	
"0.310.13.9"	"Technologue en textile (Production) CFC"	""	"29.01.2007"	"25.09.2018"	
"0.310.13.0"	"Technologue en textile CFC"	""	"16.01.2007"	"25.09.2018"	
"0.320.0.0"	"Habillement"	""	"30.11.1999"	"18.09.1996"	
"0.320.31.0"	"Confectionneur/euse AFP"	""	"15.02.2013"	"10.01.2014"	
"0.320.21.1"	"Couturier/ière (BF), abr. 2016"	""	"20.03.2014"	"17.06.2016"	
"0.320.19.0"	"Couturier/ière d'industrie (CFC), abr. 2003"	""	""	"29.08.2005"	
"0.320.18.1"	"Couturier/ière dipl. (DF), abr. 2016"	""	"20.03.2014"	"20.06.2016"	
"0.320.16.3"	"Couturier/ière en fourrures (CFC), abr. 2002"	""	"11.12.2003"	"15.10.2009"	
"0.320.16.6"	"Couturier/ière pour dames (CFC), abr. 2002"	""	"11.12.2003"	"26.11.2010"	
"0.320.16.2"	"Couturier/ière pour hommes (CFC), abr. 2002"	""	"11.12.2003"	"13.02.2006"	
"0.320.21.0"	"Créateur/trice de vêtements (BF)"	""	""	"17.06.2016"	
"0.320.16.15"	"Créateur/trice de vêtements (Couvre-chefs) CFC"	""	"30.06.2015"	"30.06.2015"	
"0.320.18.0"	"Créateur/trice de vêtements (DF)"	""	""	"17.06.2016"	
"0.320.16.11"	"Créateur/trice de vêtements (orientation Couture et finition de fourrures) CFC, abr. 2014"	""	"27.09.2005"	"15.01.2014"	
"0.320.16.10"	"Créateur/trice de vêtements (orientation Métiers de la fourrure) CFC, abr. 2014"	""	"27.09.2005"	"15.01.2014"	
"0.320.16.9"	"Créateur/trice de vêtements (orientation Modisterie) CFC, abr. 2014"	""	"27.09.2005"	"15.01.2014"	
"0.320.16.7"	"Créateur/trice de vêtements (orientation Vêtements pour dames) CFC, abr. 2014"	""	"27.09.2005"	"15.01.2014"	
"0.320.16.8"	"Créateur/trice de vêtements (orientation Vêtements pour hommes) CFC, abr. 2014"	""	"27.09.2005"	"15.01.2014"	
"0.320.16.16"	"Créateur/trice de vêtements (Vêtements de travail et de protection) CFC"	""	"30.06.2015"	"30.06.2015"	
"0.320.16.14"	"Créateur/trice de vêtements (Vêtements en fourrure) CFC"	""	"30.06.2015"	"30.06.2015"	
"0.320.16.12"	"Créateur/trice de vêtements (Vêtements pour dames) CFC"	""	"30.06.2015"	"30.06.2015"	
"0.320.16.13"	"Créateur/trice de vêtements (Vêtements pour hommes) CFC"	""	"30.06.2015"	"30.06.2015"	
"0.320.16.0"	"Créateur/trice de vêtements CFC"	""	"29.07.2002"	"23.07.2015"	
"0.320.27.1"	"Fashion Assistant"	""	"07.05.2020"	"07.05.2020"	
"0.320.27.0"	"Fashion spécialiste (BF)"	""	"19.11.2008"	"24.08.2020"	
"0.320.16.5"	"Fourreur/euse (CFC), abr. 2002"	""	"11.12.2003"	"19.07.2005"	
"0.320.15.6"	"Gestionnaire en entretien des textiles (Blanchisserie) CFC"	""	"10.02.2016"	"17.11.2016"	
"0.320.15.5"	"Gestionnaire en entretien des textiles (Nettoyage à sec) CFC"	""	"10.02.2016"	"17.11.2016"	
"0.320.15.0"	"Gestionnaire en entretien des textiles CFC"	""	""	"17.11.2016"	
"0.320.29.0"	"Habillement (divers)"	""	"26.01.2011"	""	
"0.320.18.2"	"Maître tailleur/euse (DF), abr. 2016"	""	"17.06.2016"	"20.06.2016"	
"0.320.16.1"	"Modiste (CFC), abr. 2002"	""	"11.12.2003"	"13.01.2005"	
"0.320.17.0"	"Modiste dipl. (DF), abr. 2012"	""	""	"02.10.2012"	
"0.320.23.0"	"Nettoyeur/euse chimique dipl. (DF), abr. 2018"	""	""	"26.01.2018"	
"0.320.15.7"	"Nettoyeur/euse de textiles CFC, abr. 2017"	""	"23.02.2016"	"22.11.2016"	
"0.320.20.0"	"Stoppeur/euse artistique (CFC), abr. 2002"	""	""	"13.01.2005"	
"0.320.16.4"	"Tailleur/euse sur mesure (CFC), abr. 2002"	""	"11.12.2003"	"13.01.2005"	
"0.330.0.0"	"Cuir"	""	"30.11.1999"	"21.07.2010"	
"0.330.12.0"	"Agent/e technique de la chaussure (CFC), abr. 2007"	""	"04.11.1991"	"09.12.2009"	
"0.330.8.5"	"Artisan/e du cuir et du textile (Maroquinerie) CFC"	""	"13.09.2011"	"15.09.2011"	
"0.330.8.3"	"Artisan/e du cuir et du textile (Sport équestre) CFC"	""	"13.09.2011"	"16.09.2011"	
"0.330.8.4"	"Artisan/e du cuir et du textile (Véhicules et technique) CFC"	""	"13.09.2011"	"15.09.2011"	
"0.330.8.0"	"Artisan/e du cuir et du textile CFC"	""	"04.11.1991"	"15.09.2011"	
"0.330.5.0"	"Bottier/ière-orthopédiste CFC"	""	"17.07.2001"	"18.10.2010"	
"0.330.9.0"	"Cordonnier/ière CFC"	""	"04.11.1991"	"18.10.2010"	
"0.330.16.0"	"Cuir (divers)"	""	"26.01.2011"	""	
"0.330.11.1"	"Faiseur/euse de tiges (CFC), abr. 2002"	""	"11.12.2003"	"13.02.2006"	
"0.330.8.1"	"Garnisseur/euse en carrosserie (CFC), abr. 2011"	""	"13.09.2011"	"13.09.2011"	
"0.330.4.0"	"Maître bottier/ière-orthopédiste (DF)"	""	""	"16.09.2025"	
"0.330.14.0"	"Maître cordonnier/ière (DF), abr. 2018"	""	"04.11.1991"	"26.01.2018"	
"0.330.17.0"	"Maître du cuir et du textile (DF)"	""	"25.02.2014"	"25.11.2014"	
"0.330.13.0"	"Maître fourreur/euse (DF), abr. 2018"	""	""	"21.08.2019"	
"0.330.17.1"	"Maître garnisseur/euse en carrosserie (DF), abr. 2014"	""	"25.11.2014"	"19.02.2015"	
"0.330.8.6"	"Maroquinier/ière (CFC), abr. 2005"	""	"02.11.2011"	"02.11.2011"	
"0.330.11.0"	"Modéliste en chaussures (CFC), abr. 2005"	""	"04.11.1991"	"19.04.2005"	
"0.330.11.2"	"Monteur en chaussures (CFC), abr. 2002"	""	"11.12.2003"	"09.12.2009"	
"0.330.15.0"	"Réparateur/trice de chaussures AFP, abr. 2018"	""	"05.10.2009"	"23.10.2017"	
"0.330.8.2"	"Sellier/ière (CFC), abr. 2011"	""	"13.09.2011"	"15.09.2011"	
"0.330.7.0"	"Sellier/ière dipl. (DF), abr. 2013"	""	"28.11.1994"	"28.12.2012"	
"0.330.18.0"	"Spécialiste en technique orthopédique de chaussures (BF)"	""	"10.11.2023"	"20.02.2024"	
"0.340.0.0"	"Mode"	""	"29.10.1991"	"18.09.1996"	
"0.340.2.0"	"Conseiller/ère en couleurs et en styles de mode (BF), abr. 2021"	""	""	"30.06.2021"	
"0.340.7.0"	"Fashiondesigner (DF)"	""	"04.05.1992"	"02.03.2015"	
"0.340.3.0"	"Mannequin"	""	"04.11.1991"	"12.03.2009"	
"0.340.11.0"	"Mode (divers)"	""	"26.01.2011"	""	
"0.340.3.1"	"Photo modèle"	""	"11.12.2003"	"12.03.2009"	
"0.350.0.0"	"Soins corporels et esthétiques"	""	"04.11.1991"	"23.02.2010"	
"0.350.3.0"	"Coiffeur/euse (BF)"	""	"04.11.1991"	"19.01.2005"	
"0.350.4.0"	"Coiffeur/euse (DF)"	""	"04.11.1991"	"12.10.2011"	
"0.350.5.2"	"Coiffeur/euse (orientation dames) (CFC), abr. 2005"	""	"27.09.2005"	"16.01.2014"	
"0.350.5.1"	"Coiffeur/euse (orientation messieurs) (CFC), abr. 2005"	""	"27.09.2005"	"16.01.2014"	
"0.350.13.0"	"Coiffeur/euse AFP"	""	"27.04.2010"	"16.11.2011"	
"0.350.5.0"	"Coiffeur/euse CFC"	""	"26.05.1994"	"02.03.2007"	
"0.350.14.0"	"Dermapigmentologue (BF), abr. 2021"	""	"24.11.2010"	"28.04.2021"	
"0.350.10.1"	"Esthéticien/ne (BF), abr. 2021"	""	"05.05.2021"	"05.05.2021"	
"0.350.7.0"	"Esthéticien/ne CFC"	""	"04.11.1991"	"06.03.2007"	
"0.350.6.0"	"Esthéticien/ne dipl. (DF)"	""	"04.11.1991"	"19.01.2005"	
"0.350.10.0"	"Esthéticien/ne en esthétique médicale (BF)"	""	"19.08.2002"	"13.03.2024"	
"0.350.9.0"	"Maquilleur/euse professionnel/le (BF), abr. 2023"	""	"06.05.1992"	"13.03.2024"	
"0.350.15.0"	"Soins corporels et esthétiques (divers)"	""	"26.01.2011"	""	
"0.350.12.0"	"Styliste d'ongles (BF), abr. 2019"	""	"04.11.1991"	"01.09.2020"	
"0.350.11.0"	"Tatoueur/euse"	""	"24.01.2000"	"19.01.2005"	
"0.400.0.0"	"Construction"	""	"29.10.1991"	"26.11.2019"	
"0.400.1.0"	"Construction (divers)"	""	"26.01.2011"	"26.11.2019"	
"0.410.0.0"	"Aménagement du territoire"	""	"29.10.1991"	"16.11.2001"	
"0.410.20.0"	"Aménagement du territoire (divers)"	""	"26.01.2011"	""	
"0.410.22.1"	"Architecte paysagiste HES"	""	"27.05.2020"	"27.05.2020"	
"0.410.13.2"	"Cartographe (CFC), abr. 2009"	""	"05.01.2010"	"05.01.2010"	
"0.410.13.1"	"Dessinateur/trice-géomètre (CFC), abr. 2001"	""	"11.12.2003"	"26.11.2010"	
"0.410.17.2"	"Développeur/euse territorial/e (U)"	""	"16.02.2024"	"16.02.2024"	
"0.410.4.4"	"Développeur/euse territorial/e HES"	""	"16.02.2024"	"16.02.2024"	
"0.410.13.3"	"Géomaticien/ne (Géoinformation) CFC"	""	"15.11.2023"	"24.07.2024"	
"0.410.13.4"	"Géomaticien/ne (Mensuration) CFC"	""	"15.11.2023"	"24.07.2024"	
"0.410.13.0"	"Géomaticien/ne CFC"	""	"13.11.2001"	"24.07.2024"	
"0.410.18.0"	"Géomètre (U)"	""	"04.11.1991"	"23.03.2009"	
"0.410.14.0"	"Ingénieur/e du génie rural (U)"	""	"08.02.2000"	"19.01.2005"	
"0.410.16.1"	"Ingénieur/e du trafic (U)"	""	"11.12.2003"	"21.09.2015"	
"0.410.15.0"	"Ingénieur/e en géomatique (U)"	""	"05.02.1997"	"28.03.2006"	
"0.410.15.1"	"Ingénieur/e en mensuration (U)"	""	"11.12.2003"	"01.03.2006"	
