"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.160.31.0"	"Préparateur/trice en sciences naturelles"	""	""	"03.11.2008"	
"0.160.31.5"	"Préparateur/trice en sciences naturelles, option médecine"	""	"29.10.2008"	"05.11.2008"	
"0.160.31.6"	"Préparateur/trice en sciences naturelles, option sciences de la terre"	""	"29.10.2008"	"05.11.2008"	
"0.160.31.4"	"Préparateur/trice en sciences naturelles, option zoologie"	""	"29.10.2008"	"05.11.2008"	
"0.160.31.3"	"Préparateur/trice scientifique"	""	"26.03.2004"	"05.11.2008"	
"0.160.47.0"	"Sciences naturelles (divers)"	""	"26.01.2011"	""	
"0.160.44.0"	"Spécialiste en sciences naturelles (U)"	""	""	"21.09.2015"	
"0.160.39.0"	"Statisticien/ne (U)"	""	""	"06.01.2005"	
"0.160.31.1"	"Taxidermiste"	""	"11.12.2003"	"30.10.2008"	
"0.170.0.0"	"Écologie, protection de l'environnement"	""	"30.11.1999"	"04.06.2020"	
"0.170.4.3"	"Conseiller/ère en environnement (BF), abr. 2026"	""	"29.04.2026"	"29.04.2026"	
"0.170.14.0"	"Écologie, protection de l'environnement (divers)"	""	"26.01.2011"	"04.06.2020"	
"0.170.8.0"	"Ingénieur/e en environnement (U)"	""	""	"04.10.2005"	
"0.170.10.2"	"Ingénieur/e HES en agronomie, production horticole"	""	"03.03.2005"	"12.03.2008"	
"0.170.10.3"	"Ingénieur/e HES en arboriculture et viticulture"	""	"07.01.2004"	"03.03.2005"	
"0.170.15.0"	"Ingénieur/e HES en énergie et techniques environnementales"	""	"12.04.2011"	"26.09.2016"	
"0.170.10.0"	"Ingénieur/e HES en gestion de la nature"	""	"17.03.1997"	"12.03.2008"	
"0.170.4.4"	"Ranger"	""	"29.04.2026"	"29.04.2026"	
"0.170.4.0"	"Spécialiste de la nature et de l'environnement (BF)"	""	""	"05.05.2026"	
"0.170.6.0"	"Spécialiste en aménagement d'espaces verts"	""	""	"06.01.2005"	
"0.170.7.0"	"Spécialiste en protection de l'environnement"	""	""	"30.11.2010"	
"0.170.16.0"	"Technicien/ne dipl. ES en énergie et environnement"	""	"10.09.2014"	"18.10.2022"	
"0.200.0.0"	"Alimentation, hôtellerie, restauration, économie familiale"	""	"30.11.1999"	"08.03.2012"	
"0.200.1.0"	"Alimentation, hôtellerie, restauration, économie familiale (divers)"	""	"26.01.2011"	""	
"0.210.0.0"	"Alimentation"	""	"30.11.1999"	"17.02.2004"	
"0.210.18.4"	"Agent/e technique de la conserverie (CFC), abr. 2001"	""	"07.06.2004"	"06.01.2005"	
"0.210.51.0"	"Alimentation (divers)"	""	"26.01.2011"	""	
"0.210.47.3"	"Assistant/e en boucherie et charcuterie AFP, abr. 2017"	""	"23.11.2016"	"23.11.2016"	
"0.210.19.1"	"Boucher/ère-charcutier/ière (BF), abr. 2013"	""	"18.10.2013"	"18.10.2013"	
"0.210.20.8"	"Boucher/ère-charcutier/ière (Commercialisation) CFC"	""	"26.01.2016"	"18.11.2016"	
"0.210.20.4"	"Boucher/ère-charcutier/ière (orientation Commercialisation) (CFC), abr. 2007"	""	"15.09.2005"	"16.01.2014"	
"0.210.20.2"	"Boucher/ère-charcutier/ière (orientation Production) (CFC), abr. 2007"	""	"15.09.2005"	"15.01.2014"	
"0.210.20.3"	"Boucher/ère-charcutier/ière (orientation Transformation) (CFC), abr. 2007"	""	"15.09.2005"	"15.01.2014"	
"0.210.47.2"	"Boucher/ère-charcutier/ière (Préparation et vente) AFP"	""	"26.01.2016"	"21.11.2016"	
"0.210.47.1"	"Boucher/ère-charcutier/ière (Production et transformation) AFP"	""	"26.01.2016"	"21.11.2016"	
"0.210.20.6"	"Boucher/ère-charcutier/ière (Production) CFC"	""	"26.01.2016"	"18.11.2016"	
"0.210.20.7"	"Boucher/ère-charcutier/ière (Transformation) CFC"	""	"26.01.2016"	"18.11.2016"	
"0.210.47.0"	"Boucher/ère-charcutier/ière AFP"	""	"13.11.2006"	"21.11.2016"	
"0.210.20.0"	"Boucher/ère-charcutier/ière CFC"	""	""	"18.11.2016"	
"0.210.4.4"	"Boulanger/ère-pâtissier/ière (CFC), abr. 2010"	""	"30.11.2010"	"09.12.2010"	
"0.210.35.2"	"Boulanger/ère-pâtissier/ière dipl. (DF), abr. 2016"	""	"26.05.2015"	"23.11.2015"	
"0.210.4.2"	"Boulanger/ère-pâtissier/ière-confiseur/euse (Boulangerie-pâtisserie) CFC"	""	"26.11.2010"	"09.12.2010"	
"0.210.4.3"	"Boulanger/ère-pâtissier/ière-confiseur/euse (Pâtisserie-confiserie) CFC"	""	"26.11.2010"	"09.12.2010"	
"0.210.50.0"	"Boulanger/ère-pâtissier/ière-confiseur/euse AFP"	""	"20.10.2009"	"06.03.2017"	
"0.210.4.0"	"Boulanger/ère-pâtissier/ière-confiseur/euse CFC"	""	""	"20.04.2011"	
"0.210.54.4"	"Brasseur/euse (CFC), abr. 2001"	""	"26.07.2024"	"26.07.2024"	
"0.210.52.1"	"Caviste (BF), abr. 2013"	""	"13.11.2013"	"20.01.2014"	
"0.210.31.2"	"Chef/fe boulanger/ère-pâtissier/ière (BF), abr. 2016"	""	"21.05.2015"	"28.06.2018"	
"0.210.31.0"	"Chef/fe boulanger/ère-pâtissier/ière-confiseur/euse (BF)"	""	"04.11.1991"	"28.06.2018"	
"0.210.31.3"	"Chef/fe confiseur/euse-pâtissier/ière-glacier/ière (BF), abr. 2016"	""	"23.11.2015"	"28.06.2018"	
"0.210.35.0"	"Chef/fe d'entreprise en boulangerie-pâtisserie-confiserie dipl. (DF)"	""	""	"26.01.2016"	
"0.210.52.0"	"Chef/fe d'exploitation caviste (BF)"	""	"03.03.2011"	"02.02.2015"	
"0.210.19.0"	"Chef/fe d'exploitation économie carnée (BF)"	""	"21.10.1999"	"15.07.2025"	
